"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 17 21:48:38 CST 2022","Tue May 17 21:48:43 CST 2022","4260","testFirstPage","test_Qfirst_page","TestClok","","","test_to_statistics",""
"broken","Tue May 17 21:53:26 CST 2022","Tue May 17 21:53:38 CST 2022","11659","testPosition","test_Qposition","TestPosition","","","test_hq",""
"broken","Tue May 17 21:42:38 CST 2022","Tue May 17 21:42:48 CST 2022","10129","testContractScreen","test_Qcontract_screen","TestContractScreen","","","test_sx",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_confirmpwd_atypism_zj",""
"passed","Tue May 17 21:56:58 CST 2022","Tue May 17 21:57:00 CST 2022","2048","testSearch","test_Qsearch","TestSearch","","","test_Search_groupinform",""
"passed","Tue May 17 21:43:09 CST 2022","Tue May 17 21:43:13 CST 2022","4141","testContractScreen","test_Qcontract_screen","TestContractScreen","","","test_search_toK",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_sell_chenge_price",""
"broken","Tue May 17 21:57:30 CST 2022","Tue May 17 21:57:30 CST 2022","0","testSubjectMatter","test_Qsubject_matter","TestOrder","","","test_ETF",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_zx4",""
"failed","Tue May 17 21:46:43 CST 2022","Tue May 17 21:47:06 CST 2022","23302","testExercise","test_Xexercise","TestClok","","","test_exe",""
"broken","Tue May 17 22:01:18 CST 2022","Tue May 17 22:01:18 CST 2022","0","textContract","test_Qcontract","TestOrder","","","test_toOrder",""
"broken","Tue May 17 21:44:25 CST 2022","Tue May 17 21:44:31 CST 2022","5919","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setprice_dsj",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_cancle",""
"broken","Tue May 17 21:45:20 CST 2022","Tue May 17 21:45:24 CST 2022","4052","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setrl_defaultTime",""
"broken","Tue May 17 21:53:13 CST 2022","Tue May 17 21:53:24 CST 2022","11193","testPosition","test_Qposition","TestPosition","","","test_tetail",""
"passed","Tue May 17 21:48:35 CST 2022","Tue May 17 21:48:37 CST 2022","2693","testFirstPage","test_Qfirst_page","TestClok","","","test_to_optional",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_oldpwd_error",""
"broken","Tue May 17 21:45:15 CST 2022","Tue May 17 21:45:16 CST 2022","1250","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setrisk_switch",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_confirmpwd_null_zj",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_ke",""
"passed","Tue May 17 21:43:16 CST 2022","Tue May 17 21:43:18 CST 2022","1372","testContractScreen","test_Qcontract_screen","TestContractScreen","","","test_screen_toK",""
"broken","Tue May 17 21:45:27 CST 2022","Tue May 17 21:45:30 CST 2022","2625","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setxj_defaultDivide_switch",""
"passed","Tue May 17 21:57:04 CST 2022","Tue May 17 21:57:05 CST 2022","1554","testSearch","test_Qsearch","TestSearch","","","test_Search_groupflow",""
"passed","Tue May 17 21:41:01 CST 2022","Tue May 17 21:41:09 CST 2022","7449","testChangePassword","test_Qchange_password","TestChangePassword","","","test_confirmpwd_null_zj",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_zx2",""
"broken","Tue May 17 21:59:46 CST 2022","Tue May 17 21:59:46 CST 2022","0","textContract","test_Qcontract","TestOrder","","","test_Handicap",""
"broken","Tue May 17 21:48:53 CST 2022","Tue May 17 21:48:53 CST 2022","0","testGp","test_Gp","TestGp","","","test_zt",""
"broken","Tue May 17 21:48:53 CST 2022","Tue May 17 21:48:53 CST 2022","0","testGp","test_Gp","TestGp","","","test_cancle",""
"broken","Tue May 17 21:48:53 CST 2022","Tue May 17 21:48:53 CST 2022","0","testGp","test_Gp","TestGp","","","test_xjbuy",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_hold_mr",""
"broken","Tue May 17 22:00:55 CST 2022","Tue May 17 22:00:55 CST 2022","0","textContract","test_Qcontract","TestOrder","","","test_fastSell",""
"passed","Tue May 17 21:40:08 CST 2022","Tue May 17 21:40:16 CST 2022","7862","testChangePassword","test_Qchange_password","TestChangePassword","","","test_oldpwd_error",""
"passed","Tue May 17 21:55:56 CST 2022","Tue May 17 21:55:57 CST 2022","1557","testSearch","test_Qsearch","TestSearch","","","test_Search_dayentrust",""
"broken","Tue May 17 21:52:39 CST 2022","Tue May 17 21:52:44 CST 2022","4518","testOrder","test_Qorder","TestOrder","","","test_traditional_coveredsell",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_newpwd_null",""
"broken","Tue May 17 21:48:53 CST 2022","Tue May 17 21:48:53 CST 2022","0","testGp","test_Gp","TestGp","","","test_hold",""
"passed","Tue May 17 21:46:03 CST 2022","Tue May 17 21:46:07 CST 2022","3941","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setposition_notsave",""
"passed","Tue May 17 21:45:56 CST 2022","Tue May 17 21:46:00 CST 2022","3944","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setposition_save",""
"passed","Tue May 17 21:39:53 CST 2022","Tue May 17 21:39:56 CST 2022","3755","testCaptical","test_Qto_captical","Test_trade","","","test_captical",""
"broken","Tue May 17 21:45:10 CST 2022","Tue May 17 21:45:12 CST 2022","1690","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setorder_switch_on",""
"broken","Tue May 17 21:57:53 CST 2022","Tue May 17 21:57:53 CST 2022","0","textContract","test_Qcontract","TestOrder","","","test_arrow",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_zx1",""
"broken","Tue May 17 21:44:54 CST 2022","Tue May 17 21:45:01 CST 2022","7307","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setadd_defaultNumber",""
"failed","Tue May 17 21:48:55 CST 2022","Tue May 17 21:49:07 CST 2022","12103","testLock","test_lock","TestClok","","","test_clok",""
"broken","Tue May 17 21:48:54 CST 2022","Tue May 17 21:48:54 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_history_cj",""
